Model,Features,MAE,Spearman
Random Forest,Static,623.6489849943275,0.5031126829577283
Random Forest,+Drift,625.7253110925374,0.5052523242875842
Random Forest,+Chaos,631.5522393437434,0.5135330102174294
XGBoost,Static,649.3774257286968,0.5234241395037366
XGBoost,+Drift,654.9230568968721,0.5182702946518516
XGBoost,+Chaos,658.0608200067403,0.5267949515712044
Feedforward NN,Static,14194.622393388763,0.5336967138226597
Feedforward NN,+Drift,27342.05717119237,0.5222993198835845
Feedforward NN,+Chaos,15063.27433164214,0.5251616376108044
