,MAE,MAE,MAE,Spearman,Spearman,Spearman
Features,Static,+Drift,Delta %,Static,+Drift,Delta
Model,,,,,,
Feedforward NN (MLP),38041.0511744753,780.8813709396811,97.94726657957436,0.5638876079688985,0.5488001565186804,-0.015087451450218059
Linear Regression,40289796.83843229,8730047.701683763,78.33186467359845,0.5126394104838259,0.5160781603334353,0.003438749849609457
Random Forest,616.2671755347616,619.5773745186369,-0.5371369943568632,0.5352165955528656,0.5335240063381931,-0.001692589214672524
Ridge Regression (L2),40434309.38805412,8840716.310351023,78.13560700269332,0.5126435093055758,0.5160724128984258,0.0034289035928499745
XGBoost (Proposed),652.9694955028643,655.2112695577339,-0.3433198748653823,0.561663657922477,0.5590182259233626,-0.002645431999114378
